Date,Open,High,Low,Close,Adj Close,Volume
2005-02-07,32.209000,32.303000,31.971000,32.102000,32.102000,71633078
2005-02-08,32.082000,32.388000,32.056000,32.158000,32.158000,73225164
2005-02-09,32.184000,32.209000,31.583000,31.621000,31.621000,93432520
2005-02-10,31.749000,31.800000,31.425000,31.656000,31.656000,110426553
2005-02-11,31.579000,32.252000,31.465000,32.124000,32.124000,108768906
2005-02-14,32.133000,32.329000,32.114000,32.268000,32.268000,55056970
2005-02-15,32.286000,32.789000,32.226000,32.482000,32.482000,133212243
2005-02-16,32.405000,32.516000,32.235000,32.363000,32.363000,80616379
2005-02-17,32.422000,32.499000,31.894000,31.928000,31.928000,116323034
2005-02-18,31.937000,32.013000,31.749000,31.826000,31.826000,69387152
2005-02-22,31.553000,31.995000,31.349000,31.434000,31.434000,122634973
2005-02-23,31.562000,31.587000,31.270000,31.477000,31.477000,95421038
2005-02-24,31.400000,31.903000,31.323000,31.877000,31.877000,99841020
2005-02-25,31.851000,32.124000,31.775000,32.056000,32.056000,80143675
2005-02-28,31.920000,32.039000,31.462000,31.715000,31.715000,96018828
2005-03-01,31.843000,32.124000,31.809000,32.065000,32.065000,79293542
2005-03-02,31.894000,32.397000,31.831000,32.047000,32.047000,107985175
2005-03-03,32.133000,32.150000,31.545000,31.783000,31.783000,90101320
2005-03-04,32.030000,32.167000,31.869000,31.971000,31.971000,86649866
2005-03-07,32.047000,32.627000,32.005000,32.431000,32.431000,94886351
2005-03-08,32.354000,32.559000,32.082000,32.107000,32.107000,89618428
2005-03-09,32.099000,32.320000,31.928000,32.013000,32.013000,98090870
2005-03-10,32.047000,32.099000,31.596000,31.971000,31.971000,98047627
2005-03-11,32.116000,32.228000,31.545000,31.673000,31.673000,102865410
2005-03-14,31.732000,31.834000,31.554000,31.817000,31.817000,71602364
2005-03-15,31.903000,31.937000,31.519000,31.562000,31.562000,93917510
2005-03-16,31.460000,31.681000,31.127000,31.200000,31.200000,159757441
2005-03-17,31.187000,31.434000,31.136000,31.281000,31.281000,101801139
2005-03-18,31.306000,31.344000,30.974000,31.110000,31.110000,109185283
2005-03-21,31.195000,31.315000,30.889000,31.170000,31.170000,92838632
2005-03-22,31.212000,31.315000,30.769000,30.786000,30.786000,114134328
2005-03-23,30.752000,31.097000,30.735000,30.897000,30.897000,97523974
2005-03-24,31.008000,31.229000,30.906000,30.906000,30.906000,77711689
2005-03-28,31.025000,31.196000,30.940000,30.965000,30.965000,59773984
2005-03-29,30.906000,31.170000,30.624000,30.718000,30.718000,119633330
2005-03-30,30.872000,31.340000,30.863000,31.298000,31.298000,115019584
2005-03-31,31.315000,31.315000,31.051000,31.161000,31.161000,86651191
2005-04-01,31.374000,31.429000,30.786000,30.846000,30.846000,143853526
2005-04-04,30.897000,31.187000,30.701000,31.068000,31.068000,100153714
